corp_name,kind_code,corp_code,thstrm_nm,total_score,stock_code
지역난방공사,07132,00159698,제 37 기 1분기말,1269,071320
삼천리,00469,00128555,제 56 기 1분기말,1185,004690
경동도시가스,26729,01208885,제 5 기 1분기말,1181,267290
한양디지텍,07835,00488989,제 18 기 1분기말,1159,078350
아이비김영,33995,01414422,제 3 기 1분기말,1154,339950
동방,00414,00115287,제 57 기 1분기말,1147,004140
코나아이,05240,00349732,제 24 기 1분기말,1144,052400
영풍제지,00674,00141404,제 52 기 1분기말,1141,006740
제이앤티씨,20427,00447575,제 26 기 1분기말,1127,204270
인탑스,04907,00226866,제 47 기 1분기말,1119,049070
메가스터디교육,21520,01074862,제 7 기 1분기말,1116,215200
성도이엔지,03735,00216498,제 34 기 1분기말,1101,037350
대성에너지,11758,00787376,제 13 기 1분기말,1095,117580
푸드나무,29072,01259311,제 9 기 1분기말,1072,290720
태양,05362,00186717,제 33 기 1분기말,1070,053620
대성홀딩스,01671,00108940,제 39 기 1분기말,1070,016710
아이티엠반도체,08485,00579980,제 22 기 1분기말,1065,084850
노바렉스,19470,00811372,제 14 기 1분기말,1059,194700
기아,00027,00106641,제 78 기 1분기말,1056,000270
대원미디어,04891,00351807,제 44 기 1분기말,1056,048910
신세계푸드,03144,00274933,제 27 기 1분기말,1049,031440
디아이씨,09220,00112165,제 46 기 1분기말,1048,092200
네오셈,25359,01170865,제 6 기 1분기말,1041,253590
제이엔케이히터,12688,00442154,제 24 기 1분기말,1040,126880
위드텍,34835,00925587,제 19 기 1분기말,1038,348350
DB하이텍,00099,00160843,제 69 기 1분기말,1038,000990
에스티오,09866,00612188,제 19 기 1분기말,1037,098660
디케이티,29055,01137903,제 10 기 1분기말,1035,290550
평화산업,09008,00573579,제 16 기 1분기말,1035,090080
현대건설,00072,00164478,제 72 기 1분기말,1033,000720
다우기술,02359,00176914,제 36 기 1분기말,1033,023590
코웨이,02124,00170558,제 33 기 1분기말,1031,021240
에이트원,23098,01110076,제 7 기 1분기말,1029,230980
바이오니아,06455,00326731,제 30 기 1분기말,1028,064550
아세아제지,00231,00138729,제 66 기 1분기말,1028,002310
KG모빌리언스,04644,00405278,제 22 기 1분기말,1026,046440
지엔코,06506,00258102,제 25 기 1분기말,1023,065060
에이티세미콘,08953,00458562,제 21 기 1분기말,1020,089530
예스티,12264,00530556,제 22 기 1분기말,1019,122640
삼호개발,01096,00128980,제 46 기 1분기말,1016,010960
JW생명과학,23408,00225706,제 28 기 1분기말,1012,234080
창해에탄올,00465,00123523,제 56 기 1분기말,1010,004650
큐에스아이,06631,00411446,제 22 기 1분기말,1003,066310
구영테크,05327,00202060,제 33 기 1분기말,997,053270
유니퀘스트,07750,00414601,제 27 기 1분기말,995,077500
포스코스틸리온,05843,00155258,제 34 기 1분기말,994,058430
제이시스메디칼,28741,01267602,제 5 기 1분기말,990,287410
유네코,06451,00127699,제 40 기 1분기말,989,064510
TYM,00290,00117230,제 62 기 1분기말,987,002900
SK하이닉스,00066,00164779,제 74 기 1분기말,983,000660
디와이피엔에프,10446,00602136,제 23 기 1분기말,983,104460
유아이엘,04952,00256380,제 40 기 1분기말,981,049520
네오리진,09486,00599106,제 15 기 1분기말,981,094860
디딤,21762,01068658,제 7 기 1분기말,980,217620
에프엔씨엔터,17394,00925295,제 16 기 1분기말,967,173940
대동전자,00811,00157104,제 50 기 1분기말,962,008110
삼양식품,00323,00126955,제 61 기 1분기말,962,003230
SK네트웍스,00174,00131780,제 69 기 1분기말,961,001740
유라테크,04843,00201742,제 35 기 1분기말,958,048430
현대위아,01121,00106623,제 46 기 1분기말,958,011210
뉴프렉스,08567,00493510,제 22 기 1분기말,958,085670
경동나비엔,00945,00101488,제 49 기 1분기말,954,009450
삼화콘덴서공업,00182,00129350,제 66 기 1분기말,953,001820
삼성출판사,06829,00423690,제 20 기 1분기말,951,068290
코리아써키트,00781,00152686,제 50 기 1분기말,948,007810
우주일렉트로,06568,00390903,제 23 기 1분기말,947,065680
씨케이에이치,CYM06,00800084,제 14 기 1분기말,943,900120
이랜시스,26485,01199189,제 5 기 1분기말,942,264850
에스엠,04151,00260930,제 27 기 1분기말,942,041510
CJ,00104,00148540,제 69 기 1분기말,942,001040
덕양산업,02490,00114154,제 45 기 1분기말,941,024900
코스맥스,19282,01009789,제 8 기 1분기말,941,192820
동일기연,03296,00199076,제 36 기 1분기말,938,032960
엘브이엠씨,CYM08,00838500,제 13 기 1분기말,938,900140
이스트아시아홀딩스,HKG05,00799070,제 13 기 1분기말,934,900110
포인트엔지니어링,25663,01179608,제 6 기 1분기말,932,256630
케스피온,07919,00479705,제 24 기 1분기말,932,079190
우리넷,11544,00664048,제 22 기 1분기말,929,115440
효성오앤비,09787,00367385,제 39 기 1분기말,924,097870
진도,08879,00557933,제 16 기 1분기말,923,088790
SM Life Design,06344,00367604,제 23 기 1분기말,920,063440
TJ미디어,03254,00201733,제 31 기 1분기말,919,032540
동아타이어,28269,01262458,제 5 기 1분기말,918,282690
램테크놀러지,17101,00654272,제 21 기 1분기말,918,171010
삼강엠앤티,10009,00480367,제 26 기 1분기말,915,100090
아이엠,10139,00609634,제 16 기 1분기말,910,101390
서흥,00849,00131692,제 49 기 1분기말,910,008490
유니테크노,24169,00531865,제 22 기 1분기말,909,241690
LG생활건강,05190,00356370,제 21 기 1분기말,907,051900
아이즈비전,03131,00200910,제 30 기 1분기말,905,031310
종근당홀딩스,00163,00149354,제 67 기 1분기말,902,001630
파마리서치,21445,00970453,제 21 기 1분기말,899,214450
교촌에프앤비,33977,00453284,제 23 기 1분기말,899,339770
비엘팜텍,06517,00384717,제 27 기 1분기말,898,065170
KC그린홀딩스,00944,00159971,제 49 기 1분기말,895,009440
경동제약,01104,00101549,제 46 기 1분기말,895,011040
JW홀딩스,09676,00632304,제 15 기 1분기말,894,096760
삼성에스디에스,01826,00126186,제 37 기 1분기말,894,018260
황금에스티,03256,00218575,제 36 기 1분기말,893,032560
이니텍,05335,00353610,제 25 기 1분기말,889,053350
