corp_code,thstrm_nm,total_score,stock_code,corp_name
00159698,제 37 기 1분기말,1269,071320,지역난방공사
00128555,제 56 기 1분기말,1185,004690,삼천리
01208885,제 5 기 1분기말,1181,267290,경동도시가스
00488989,제 18 기 1분기말,1159,078350,한양디지텍
01414422,제 3 기 1분기말,1154,339950,아이비김영
00115287,제 57 기 1분기말,1147,004140,동방
00349732,제 24 기 1분기말,1144,052400,코나아이
00141404,제 52 기 1분기말,1141,006740,영풍제지
00447575,제 26 기 1분기말,1127,204270,제이앤티씨
00226866,제 47 기 1분기말,1119,049070,인탑스
01074862,제 7 기 1분기말,1116,215200,메가스터디교육
00216498,제 34 기 1분기말,1101,037350,성도이엔지
00787376,제 13 기 1분기말,1095,117580,대성에너지
01259311,제 9 기 1분기말,1072,290720,푸드나무
00186717,제 33 기 1분기말,1070,053620,태양
00108940,제 39 기 1분기말,1070,016710,대성홀딩스
00579980,제 22 기 1분기말,1065,084850,아이티엠반도체
00811372,제 14 기 1분기말,1059,194700,노바렉스
00351807,제 44 기 1분기말,1056,048910,대원미디어
00106641,제 78 기 1분기말,1056,000270,기아
00274933,제 27 기 1분기말,1049,031440,신세계푸드
00112165,제 46 기 1분기말,1048,092200,디아이씨
01170865,제 6 기 1분기말,1041,253590,네오셈
00442154,제 24 기 1분기말,1040,126880,제이엔케이히터
00925587,제 19 기 1분기말,1038,348350,위드텍
00160843,제 69 기 1분기말,1038,000990,DB하이텍
00612188,제 19 기 1분기말,1037,098660,에스티오
01137903,제 10 기 1분기말,1035,290550,디케이티
00573579,제 16 기 1분기말,1035,090080,평화산업
00164478,제 72 기 1분기말,1033,000720,현대건설
00176914,제 36 기 1분기말,1033,023590,다우기술
00170558,제 33 기 1분기말,1031,021240,코웨이
01110076,제 7 기 1분기말,1029,230980,에이트원
00326731,제 30 기 1분기말,1028,064550,바이오니아
00138729,제 66 기 1분기말,1028,002310,아세아제지
00405278,제 22 기 1분기말,1026,046440,KG모빌리언스
00258102,제 25 기 1분기말,1023,065060,지엔코
00458562,제 21 기 1분기말,1020,089530,에이티세미콘
00530556,제 22 기 1분기말,1019,122640,예스티
00128980,제 46 기 1분기말,1016,010960,삼호개발
00225706,제 28 기 1분기말,1012,234080,JW생명과학
00123523,제 56 기 1분기말,1010,004650,창해에탄올
00411446,제 22 기 1분기말,1003,066310,큐에스아이
00202060,제 33 기 1분기말,997,053270,구영테크
00414601,제 27 기 1분기말,995,077500,유니퀘스트
00155258,제 34 기 1분기말,994,058430,포스코스틸리온
01267602,제 5 기 1분기말,990,287410,제이시스메디칼
00127699,제 40 기 1분기말,989,064510,유네코
00117230,제 62 기 1분기말,987,002900,TYM
00164779,제 74 기 1분기말,983,000660,SK하이닉스
00602136,제 23 기 1분기말,983,104460,디와이피엔에프
00599106,제 15 기 1분기말,981,094860,네오리진
00256380,제 40 기 1분기말,981,049520,유아이엘
01068658,제 7 기 1분기말,980,217620,디딤
00925295,제 16 기 1분기말,967,173940,에프엔씨엔터
00126955,제 61 기 1분기말,962,003230,삼양식품
00157104,제 50 기 1분기말,962,008110,대동전자
00131780,제 69 기 1분기말,961,001740,SK네트웍스
00493510,제 22 기 1분기말,958,085670,뉴프렉스
00106623,제 46 기 1분기말,958,011210,현대위아
00201742,제 35 기 1분기말,958,048430,유라테크
00101488,제 49 기 1분기말,954,009450,경동나비엔
00129350,제 66 기 1분기말,953,001820,삼화콘덴서공업
00423690,제 20 기 1분기말,951,068290,삼성출판사
00152686,제 50 기 1분기말,948,007810,코리아써키트
00390903,제 23 기 1분기말,947,065680,우주일렉트로
00800084,제 14 기 1분기말,943,900120,씨케이에이치
01199189,제 5 기 1분기말,942,264850,이랜시스
00148540,제 69 기 1분기말,942,001040,CJ
00260930,제 27 기 1분기말,942,041510,에스엠
00114154,제 45 기 1분기말,941,024900,덕양산업
01009789,제 8 기 1분기말,941,192820,코스맥스
00838500,제 13 기 1분기말,938,900140,엘브이엠씨
00199076,제 36 기 1분기말,938,032960,동일기연
00799070,제 13 기 1분기말,934,900110,이스트아시아홀딩스
00479705,제 24 기 1분기말,932,079190,케스피온
01179608,제 6 기 1분기말,932,256630,포인트엔지니어링
00664048,제 22 기 1분기말,929,115440,우리넷
00367385,제 39 기 1분기말,924,097870,효성오앤비
00557933,제 16 기 1분기말,923,088790,진도
00367604,제 23 기 1분기말,920,063440,SM Life Design
00201733,제 31 기 1분기말,919,032540,TJ미디어
01262458,제 5 기 1분기말,918,282690,동아타이어
00654272,제 21 기 1분기말,918,171010,램테크놀러지
00480367,제 26 기 1분기말,915,100090,삼강엠앤티
00609634,제 16 기 1분기말,910,101390,아이엠
00131692,제 49 기 1분기말,910,008490,서흥
00531865,제 22 기 1분기말,909,241690,유니테크노
00356370,제 21 기 1분기말,907,051900,LG생활건강
00200910,제 30 기 1분기말,905,031310,아이즈비전
00149354,제 67 기 1분기말,902,001630,종근당홀딩스
00970453,제 21 기 1분기말,899,214450,파마리서치
00453284,제 23 기 1분기말,899,339770,교촌에프앤비
00384717,제 27 기 1분기말,898,065170,비엘팜텍
00159971,제 49 기 1분기말,895,009440,KC그린홀딩스
00101549,제 46 기 1분기말,895,011040,경동제약
00126186,제 37 기 1분기말,894,018260,삼성에스디에스
00632304,제 15 기 1분기말,894,096760,JW홀딩스
00218575,제 36 기 1분기말,893,032560,황금에스티
00353610,제 25 기 1분기말,889,053350,이니텍
